"","Month","Day_of_month","Day_of_week","ozone_reading","pressure_height","Wind_speed","Humidity","Temperature_Sandburg","Temperature_ElMonte","Inversion_base_height","Pressure_gradient","Inversion_temperature","Visibility"
"1",1,1,4,3.01,5480,8,20,NA,NA,5000,-15,30.56,200
"2",1,2,5,3.2,5660,6,NA,38,NA,NA,-14,NA,300
"3",1,3,6,2.7,5710,4,28,40,NA,2693,-25,47.66,250
"4",1,4,7,5.18,5700,3,37,45,NA,590,-24,55.04,100
"5",1,5,1,5.34,5760,3,51,54,45.32,1450,25,57.02,60
"6",1,6,2,5.77,5720,4,69,35,49.64,1568,15,53.78,60
"7",1,7,3,3.69,5790,6,19,45,46.4,2631,-33,54.14,100
"8",1,8,4,3.89,5790,3,25,55,52.7,554,-28,64.76,250
"9",1,9,5,5.76,5700,3,73,41,48.02,2083,23,52.52,120
"10",1,10,6,6.94,5700,3,59,44,NA,2654,-2,48.38,120
"11",1,11,7,3.75,5770,8,27,54,NA,5000,-19,48.56,120
"12",1,12,1,6.39,5720,3,44,51,54.32,111,9,63.14,150
"13",1,13,2,4.73,5760,6,33,51,57.56,492,-44,64.58,40
"14",1,14,3,4.35,5780,6,19,54,56.12,5000,-44,56.3,200
"15",1,15,4,3.94,5830,3,19,58,62.24,1249,-53,75.74,250
"16",1,16,5,7,5870,2,19,61,64.94,5000,-67,65.48,200
"17",1,17,6,4.94,5840,5,19,64,NA,5000,-40,63.32,200
"18",1,18,7,9.18,5780,4,59,67,NA,639,1,66.02,150
"19",1,19,1,4.07,5680,5,73,52,56.48,393,-68,69.8,10
"20",1,20,2,3.06,5720,4,19,54,NA,5000,-66,54.68,140
"21",1,21,3,4.39,5760,3,19,54,53.6,5000,-58,51.98,250
"22",1,22,4,3.69,5730,4,26,58,52.7,5000,-26,51.98,200
"23",1,23,5,4.9,5700,5,59,69,51.08,3044,18,52.88,150
"24",1,24,6,6.4,5650,5,70,51,NA,3641,23,47.66,140
"25",1,25,7,9.31,5680,3,64,53,NA,111,-10,59.54,50
"26",1,26,1,4.84,5780,3,NA,56,53.6,692,-25,67.1,0
"27",1,27,2,6.15,5820,5,19,59,59.36,597,-52,70.52,70
"28",1,28,3,5.74,5830,4,NA,59,60.08,NA,-44,NA,150
"29",1,29,4,5.68,5810,5,19,64,56.66,1791,-15,64.76,150
"30",1,30,5,11.06,5790,3,28,63,57.38,793,-15,65.84,120
"31",1,31,6,9.93,5800,2,32,63,NA,531,-38,75.92,40
"32",2,1,7,6.98,5820,5,19,62,NA,419,-29,75.74,120
"33",2,2,1,12.28,5770,8,76,63,57.2,816,-7,66.2,6
"34",2,3,2,9.29,5670,3,69,54,45.5,3651,62,49.1,30
"35",2,4,3,2.18,5590,3,76,36,37.4,5000,70,37.94,100
"36",2,5,4,2.94,5410,6,64,31,32.18,5000,28,32.36,200
