"","x"
"1",1628.75
"2",1613.63
"3",1606.51
"4",1621.04
"5",1618.16
"6",1610.61
"7",1630.75
"8",1640.17
"9",1635.47
"10",1645.89
"11",1647.84
"12",1638.35
"13",1629.93
"14",1621.49
"15",1624.74
"16",1627.63
"17",1631.99
"18",1621.18
"19",1613.42
"20",1604.95
"21",1605.75
"22",1616.67
"23",1619.29
"24",1620.49
"25",1619.67
"26",1623.07
"27",1613.98
"28",1631.87
"29",1630.37
"30",1633.47
"31",1626.55
"32",1650.43
"33",1650.06
"34",1654.11
"35",1653.6
"36",1501.82
"37",1524.28
"38",1603.65
"39",1622.49
"40",1636.68
"41",1652.1
"42",1645.81
"43",1650.36
"44",1651.55
"45",1649.88
"46",1653.52
"47",1657.51
"48",1649.55
"49",1649.09
"50",1646.41
"51",1638.65
"52",1625.8
"53",1628.64
"54",1632.22
"55",1633.65
"56",1631.17
"57",1635.8
"58",1621.27
"59",1624.7
"60",1616.13
"61",1618.12
"62",1627.8
"63",1625.79
"64",1614.8
"65",1612.8
"66",1605.47
"67",1609.32
"68",1607.48
"69",1607.48
"70",1604.89
"71",1589.12
"72",1582.27
"73",1567.99
"74",1568.16
"75",1569.71
"76",1571.74
"77",1585.41
"78",1570.01
"79",1561.89
"80",1565.18
"81",1570.34
"82",1577
"83",1590.29
"84",1572.72
"85",1572.07
"86",1579.19
"87",1588.73
"88",1586.01
"89",1579.77
"90",1572.58
"91",1568.09
"92",1578.21
"93",1573.94
"94",1582.06
"95",1610.18
"96",1605.16
"97",1623.84
"98",1615.26
"99",1627.08
"100",1626.97
"101",1605.7
"102",1589.7
"103",1589.7
"104",1603.26
"105",1599.75
"106",1590.86
"107",1603.5
"108",1589.86
"109",1587.92
"110",1571.06
"111",1549.81
"112",1549.36
"113",1554.65
"114",1557.52
"115",1555.31
"116",1559.76
"117",1548.44
"118",1543.99
"119",1550.21
"120",1557.03
"121",1551.78
"122",1562.89
"123",1570.28
"124",1559.26
"125",1545.87
"126",1542.77
"127",1542.77
"128",1542.77
"129",1542.77
"130",1564.27
"131",1577.26
"132",1577.26
"133",1577.26
"134",1598.19
"135",1604.05
"136",1604.69
"137",1593.65
"138",1581.68
"139",1599.14
"140",1613.82
"141",1620.45
"142",1629.51
"143",1663.7
"144",1664.09
"145",1669.29
"146",1685.14
"147",1687.07
"148",1680.13
